# NodeID GridX GridY WorldX WorldY
1 1 25 0 0
2 3 25 1 0
3 5 25 2 0
4 7 25 3 0
5 9 25 4 0
6 11 25 5 0
7 13 25 6 0
8 15 25 7 0
9 17 25 8 0
10 19 25 9 0
11 21 25 10 0
12 23 25 11 0
13 25 25 12 0
14 27 25 13 0
15 29 25 14 0
16 31 25 15 0
17 33 25 16 0
18 35 25 17 0
19 1 23 0 1
20 3 23 1 1
21 5 23 2 1
22 7 23 3 1
23 9 23 4 1
24 11 23 5 1
25 13 23 6 1
26 15 23 7 1
27 17 23 8 1
28 19 23 9 1
29 21 23 10 1
30 23 23 11 1
31 25 23 12 1
32 27 23 13 1
33 29 23 14 1
34 31 23 15 1
35 33 23 16 1
36 35 23 17 1
37 1 21 0 2
38 3 21 1 2
39 13 21 6 2
40 15 21 7 2
41 21 21 10 2
42 23 21 11 2
43 33 21 16 2
44 35 21 17 2
45 1 19 0 3
46 3 19 1 3
47 13 19 6 3
48 15 19 7 3
49 21 19 10 3
50 23 19 11 3
51 33 19 16 3
52 35 19 17 3
53 1 17 0 4
54 3 17 1 4
55 13 17 6 4
56 15 17 7 4
57 21 17 10 4
58 23 17 11 4
59 33 17 16 4
60 35 17 17 4
61 1 15 0 5
62 3 15 1 5
63 5 15 2 5
64 7 15 3 5
65 9 15 4 5
66 11 15 5 5
67 13 15 6 5
68 15 15 7 5
69 17 15 8 5
70 19 15 9 5
71 21 15 10 5
72 23 15 11 5
73 25 15 12 5
74 27 15 13 5
75 29 15 14 5
76 31 15 15 5
77 33 15 16 5
78 35 15 17 5
79 1 13 0 6
80 3 13 1 6
81 13 13 6 6
82 15 13 7 6
83 21 13 10 6
84 23 13 11 6
85 33 13 16 6
86 35 13 17 6
87 1 11 0 7
88 3 11 1 7
89 13 11 6 7
90 15 11 7 7
91 21 11 10 7
92 23 11 11 7
93 33 11 16 7
94 35 11 17 7
95 1 9 0 8
96 3 9 1 8
97 13 9 6 8
98 15 9 7 8
99 21 9 10 8
100 23 9 11 8
101 33 9 16 8
102 35 9 17 8
103 1 7 0 9
104 3 7 1 9
105 5 7 2 9
106 7 7 3 9
107 9 7 4 9
108 11 7 5 9
109 13 7 6 9
110 15 7 7 9
111 17 7 8 9
112 19 7 9 9
113 21 7 10 9
114 23 7 11 9
115 25 7 12 9
116 27 7 13 9
117 29 7 14 9
118 31 7 15 9
119 33 7 16 9
120 35 7 17 9
121 1 5 0 10
122 3 5 1 10
123 5 5 2 10
124 7 5 3 10
125 9 5 4 10
126 11 5 5 10
127 13 5 6 10
128 15 5 7 10
129 17 5 8 10
130 19 5 9 10
131 21 5 10 10
132 23 5 11 10
133 25 5 12 10
134 27 5 13 10
135 29 5 14 10
136 31 5 15 10
137 33 5 16 10
138 35 5 17 10
139 1 3 0 11
141 17 17 8.004473 4.0007815
142 19 17 9.003748 3.9966526
140 9 1 3.9992194 12.020731
143 3 1 0.99752057 11.994549
144 5 1 2.0042317 11.99966
145 7 1 3.0007224 11.981773
146 11 1 4.9988985 11.991199
147 13 1 5.9910145 12.001697
148 15 1 6.9988785 12.012196
149 17 1 7.9962435 11.996448
150 19 1 9.01121 12.007341
151 21 1 9.998837 12.014014
152 23 1 11.006484 12.007341
153 25 1 11.994111 12.007341
154 27 1 12.995085 12.000668
155 29 1 14.007333 12.000411
156 31 1 15.009948 11.989913
157 33 1 16.00731 12.00566
158 35 1 17.016808 11.991092
159 35 3 17.030518 11.004011
160 33 3 15.974882 11.004011
161 31 3 14.974083 10.990302
162 29 3 14.000706 11.01772
163 27 3 12.972488 11.004011
164 25 3 12.01282 11.004011
165 23 3 11.025732 11.004011
166 21 3 10.024934 11.01772
167 19 3 8.996717 11.004011
168 17 3 7.9273725 11.01772
169 15 3 6.9814134 10.990302
