# NodeID GridX GridY WorldX WorldY
1 1 23 0 0
2 3 23 1 0
3 5 23 2 0
4 7 23 3 0
5 9 23 4 0
6 11 23 5 0
7 13 23 6 0
8 15 23 7 0
9 17 23 8 0
10 19 23 9 0
11 21 23 10 0
12 23 23 11 0
13 25 23 12 0
14 27 23 13 0
15 29 23 14 0
16 31 23 15 0
17 33 23 16 0
18 35 23 17 0
19 1 21 0 1
20 3 21 1 1
21 5 21 2 1
22 7 21 3 1
23 9 21 4 1
24 11 21 5 1
25 13 21 6 1
26 15 21 7 1
27 17 21 8 1
28 19 21 9 1
29 21 21 10 1
30 23 21 11 1
31 25 21 12 1
32 27 21 13 1
33 29 21 14 1
34 31 21 15 1
35 33 21 16 1
36 35 21 17 1
37 1 19 0 2
38 3 19 1 2
39 13 19 6 2
40 15 19 7 2
41 21 19 10 2
42 23 19 11 2
43 33 19 16 2
44 35 19 17 2
45 1 17 0 3
46 3 17 1 3
47 13 17 6 3
48 15 17 7 3
49 21 17 10 3
50 23 17 11 3
51 33 17 16 3
52 35 17 17 3
53 1 15 0 4
54 3 15 1 4
55 13 15 6 4
56 15 15 7 4
57 21 15 10 4
58 23 15 11 4
59 33 15 16 4
60 35 15 17 4
61 1 13 0 5
62 3 13 1 5
63 5 13 2 5
64 7 13 3 5
65 9 13 4 5
66 11 13 5 5
67 13 13 6 5
68 15 13 7 5
69 17 13 8 5
70 19 13 9 5
71 21 13 10 5
72 23 13 11 5
73 25 13 12 5
74 27 13 13 5
75 29 13 14 5
76 31 13 15 5
77 33 13 16 5
78 35 13 17 5
79 1 11 0 6
80 3 11 1 6
81 13 11 6 6
82 15 11 7 6
83 21 11 10 6
84 23 11 11 6
85 33 11 16 6
86 35 11 17 6
87 1 9 0 7
88 3 9 1 7
89 13 9 6 7
90 15 9 7 7
91 21 9 10 7
92 23 9 11 7
93 33 9 16 7
94 35 9 17 7
95 1 7 0 8
96 3 7 1 8
97 13 7 6 8
98 15 7 7 8
99 21 7 10 8
100 23 7 11 8
101 33 7 16 8
102 35 7 17 8
103 1 5 0 9
104 3 5 1 9
105 5 5 2 9
106 7 5 3 9
107 9 5 4 9
108 11 5 5 9
109 13 5 6 9
110 15 5 7 9
111 17 5 8 9
112 19 5 9 9
113 21 5 10 9
114 23 5 11 9
115 25 5 12 9
116 27 5 13 9
117 29 5 14 9
118 31 5 15 9
119 33 5 16 9
120 35 5 17 9
121 1 3 0 10
122 3 3 1 10
123 5 3 2 10
124 7 3 3 10
125 9 3 4 10
126 11 3 5 10
127 13 3 6 10
128 15 3 7 10
129 17 3 8 10
130 19 3 9 10
131 21 3 10 10
132 23 3 11 10
133 25 3 12 10
134 27 3 13 10
135 29 3 14 10
136 31 3 15 10
137 33 3 16 10
138 35 3 17 10
139 1 1 0 11
140 13 1 6 11
